dataset,model,split,n_features,n_train,R2,CI_low,CI_high,MAE,RMSE,NRMSE,event_P,event_R,event_F1,n_test
rolling_mean,MEAN,chronological-70/15/15,60,6198,-0.01584579034548317,-0.030981354816090323,-0.005629845037990977,0.034353028746810156,0.04708935551032318,0.18390031932482906,0.0,0.0,0.0,1329
rolling_mean,RIDGE,chronological-70/15/15,60,6198,0.8543609860159975,0.8341518732619859,0.873212247005635,0.012889647831875019,0.017829851204728988,0.06963177334939374,0.8433734939759037,0.8,0.8211143695014663,1329
rolling_mean,LASSO,chronological-70/15/15,60,6198,-0.01584579034548317,-0.030981354816090323,-0.005629845037990977,0.034353028746810156,0.04708935551032318,0.18390031932482906,0.0,0.0,0.0,1329
rolling_mean,RF,chronological-70/15/15,60,6198,0.8634421032380722,0.8425228040322273,0.8822818633034404,0.01220892957238705,0.01726502706550126,0.06742593853936794,0.8791946308724832,0.7485714285714286,0.808641975308642,1329
rolling_mean,XGB,chronological-70/15/15,60,6198,0.8746319873464101,0.8581395151486756,0.8896649850725825,0.011848328151285337,0.016542541186977143,0.0646043797745822,0.8614457831325302,0.8171428571428572,0.8387096774193549,1329
rolling_mean,SVR,chronological-70/15/15,60,6198,0.07698302695266201,0.015096099894968766,0.13072488749687114,0.03879705948397387,0.044886288601788296,0.1752965764283116,0.0,0.0,0.0,1329
cleaned_data,MEAN,chronological-70/15/15,64,5473,-0.004850234284283994,-0.01534902018041419,-0.00026565482626716476,0.06947000489883765,0.08956070800068576,0.222787830847477,0.0,0.0,0.0,1173
cleaned_data,RIDGE,chronological-70/15/15,64,5473,0.6934409365318641,0.6585925675781326,0.72573078180039,0.03681995148742522,0.049467951850721135,0.12305460659383366,0.8095238095238095,0.5112781954887218,0.6267281105990783,1173
cleaned_data,LASSO,chronological-70/15/15,64,5473,-0.004850234284283994,-0.01534902018041419,-0.00026565482626716476,0.06947000489883765,0.08956070800068576,0.222787830847477,0.0,0.0,0.0,1173
cleaned_data,RF,chronological-70/15/15,64,5473,0.8220879820632114,0.797978891531391,0.8443606878958722,0.025207537032395564,0.03768508436772358,0.09374399096448652,0.8058252427184466,0.6240601503759399,0.7033898305084746,1173
cleaned_data,XGB,chronological-70/15/15,64,5473,0.8443129581040615,0.8201880501432105,0.8632013674245455,0.023456643122229594,0.035252756610377675,0.08769342440392457,0.8017241379310345,0.6992481203007519,0.7469879518072289,1173
cleaned_data,SVR,chronological-70/15/15,64,5473,0.5521859181761646,0.511789751594702,0.587910819245513,0.04982200021837225,0.05978823352557102,0.1487269490685846,0.8701298701298701,0.5037593984962406,0.638095238095238,1173
era5_daily,MEAN,chronological-70/15/15,6,72087,-0.1741003101409273,-0.19101745237580678,-0.14885517469066767,1.4228452104041496,1.8135363312535266,0.19204869613070477,0.0,0.0,0.0,15448
era5_daily,RIDGE,chronological-70/15/15,6,72087,-0.132849969804834,-0.14318278015099453,-0.07476701393248657,1.3660737322077299,1.781393477008769,0.18864485296459726,0.0,0.0,0.0,15448
era5_daily,LASSO,chronological-70/15/15,6,72087,-0.12073178899111592,-0.13481279395835813,-0.07703175625316162,1.3699936541438187,1.7718400101838006,0.18763316612069766,0.0,0.0,0.0,15448
era5_daily,RF,chronological-70/15/15,6,72087,0.512255714610482,0.48818658259541686,0.5492065417864095,0.7748995411181114,1.1688795320077576,0.12378124782357966,0.8318085855031668,0.5915915915915916,0.6914302427610413,15448
era5_daily,XGB,chronological-70/15/15,6,72087,0.49929759066722,0.4889324861338828,0.5490230137190177,0.808290470316273,1.1843048275763657,0.1254147457857265,0.7950036737692873,0.5415415415415415,0.6442393569514736,15448
era5_daily,SVR,chronological-70/15/15,6,72087,0.43185035392635307,0.40547406618881415,0.47816297748883924,0.8326456943451628,1.2615516305083752,0.13359497770482118,0.851639344262295,0.52002002002002,0.6457426973275326,15448
processed_seq,MEAN,chronological-70/15/15,29,5627,-1.630933778162813e-05,-0.004020498975280029,-1.6557723649668377e-06,0.07156574774489616,0.09002437247220052,0.2244996819755624,0.0,0.0,0.0,1206
processed_seq,RIDGE,chronological-70/15/15,29,5627,0.06282562182377083,0.018384483685536284,0.1038058274753565,0.067344310456195,0.08714987421121632,0.2173313571352028,0.0,0.0,0.0,1206
processed_seq,LASSO,chronological-70/15/15,29,5627,-1.630933778162813e-05,-0.004020498975280029,-1.6557723649668377e-06,0.07156574774489616,0.09002437247220052,0.2244996819755624,0.0,0.0,0.0,1206
processed_seq,RF,chronological-70/15/15,29,5627,0.03755194313621546,-0.01383197884603981,0.08247797388440598,0.06831808464676617,0.08831718362600317,0.2202423531820528,0.0,0.0,0.0,1206
processed_seq,XGB,chronological-70/15/15,29,5627,-0.03951295346714612,-0.10481337175329931,0.012841738234037153,0.07111072311674689,0.09178495809775979,0.22889016981984983,0.5555555555555556,0.045454545454545456,0.08403361344537816,1206
processed_seq,SVR,chronological-70/15/15,29,5627,-0.09624200141011663,-0.163846314686222,-0.04851279765477908,0.07879388921891083,0.09425616812583336,0.23505278834372406,0.0,0.0,0.0,1206
hydrographic,MEAN,chronological-70/15/15,7,3257,-0.1190700512801266,-0.1758060484024056,-0.07810349933015272,0.23644056926540416,0.31876188269914385,0.22136241854107214,0.0,0.0,0.0,698
hydrographic,RIDGE,chronological-70/15/15,7,3257,-0.2701621495515161,-0.36132100861854244,-0.19837141304316003,0.26772314963867555,0.3395997250727926,0.23583314241166156,0.0,0.0,0.0,698
