dataset,model,split,n_features,n_train,R2,CI_low,CI_high,MAE,RMSE,NRMSE,event_P,event_R,event_F1,n_test
hydrographic,LASSO,chronological-70/15/15,7,3257,-0.1190700512801266,-0.1758060484024056,-0.07810349933015272,0.23644056926540416,0.31876188269914385,0.22136241854107214,0.0,0.0,0.0,698
hydrographic,RF,chronological-70/15/15,7,3257,-0.35416216354020436,-0.4824922815542245,-0.24605627081400214,0.26398180515759306,0.35064938710781046,0.24350651882486837,0.06896551724137931,0.023809523809523808,0.035398230088495575,698
hydrographic,XGB,chronological-70/15/15,7,3257,-0.5554250111905017,-0.6978324823957405,-0.41752082868493684,0.3003291338770737,0.3758047678120718,0.2609755332028276,0.09523809523809523,0.047619047619047616,0.06349206349206349,698
hydrographic,SVR,chronological-70/15/15,7,3257,-0.5874246373603587,-0.7551219867066005,-0.43454199319090947,0.2936458715595535,0.3796507872862878,0.2636463800599221,0.061224489795918366,0.03571428571428571,0.045112781954887216,698
biotoxin,MEAN,chronological-70/15/15,1,3553,-0.002513787679804036,-0.013655099846758317,-9.759962737138143e-06,17.761180990076774,20.71776187160112,0.23577741972915806,0.0,0.0,0.0,762
biotoxin,RIDGE,chronological-70/15/15,1,3553,-0.006040078022588213,-0.020752855599946392,-0.00011432671266111204,17.777895256633503,20.75416671402394,0.2361917231594849,0.0,0.0,0.0,762
biotoxin,LASSO,chronological-70/15/15,1,3553,-0.004593779816795651,-0.018024082578781235,-2.775880800465788e-05,17.76213898872397,20.7392430988432,0.23602188572713326,0.0,0.0,0.0,762
biotoxin,RF,chronological-70/15/15,1,3553,-0.005738249992747191,-0.02019771910174069,-0.00010837095270026001,17.774050103933526,20.75105319036979,0.23615628986422887,0.0,0.0,0.0,762
biotoxin,XGB,chronological-70/15/15,1,3553,-0.0060448095619134445,-0.020761505412492266,-0.00011431918521892023,17.77795475997324,20.754215518759782,0.23619227857926234,0.0,0.0,0.0,762
biotoxin,SVR,chronological-70/15/15,1,3553,-0.42299450704148955,-0.5371424753490464,-0.329321013634216,17.72313648293963,24.68307550537814,0.2809044668871986,0.0,0.0,0.0,762
cast,MEAN,stratified-random-70/15/15,6,15305,-1.8345014045628716e-06,-0.0016622331654783606,-3.9356332172668975e-07,1406.9773577501373,1529.7976379852025,0.19485385785061807,0.0,0.0,0.0,3280
cast,RIDGE,stratified-random-70/15/15,6,15305,0.09595581627467664,0.07692906164616675,0.11489103097825702,1301.2663978782596,1454.5492003245554,0.1852692905775768,0.0,0.0,0.0,3280
cast,LASSO,stratified-random-70/15/15,6,15305,0.09594950285482151,0.07693209832851548,0.11487224341208255,1301.3089609903102,1454.554279259819,0.1852699374932899,0.0,0.0,0.0,3280
cast,RF,stratified-random-70/15/15,6,15305,0.3846890106820917,0.35831886811596253,0.4138431066690802,925.2075030487806,1199.9991086515638,0.15284665757885157,0.8809523809523809,0.11280487804878049,0.2,3280
cast,XGB,stratified-random-70/15/15,6,15305,0.3827706490209636,0.3578098021279207,0.4085450827058383,957.0128634300465,1201.8682779393287,0.153084737987432,0.6410256410256411,0.1524390243902439,0.24630541871921183,3280
cast,SVR,stratified-random-70/15/15,6,15305,0.08862112567227887,0.07786870009355669,0.09817432272724372,1331.0720011346596,1460.4378043458933,0.18601933567009213,0.0,0.0,0.0,3280
