dataset,paper_reported_R2,paper_LSTM_chrono_retrain_R2_mean,paper_LSTM_chrono_retrain_R2_sd,n_unseen_test_windows,paper_LSTM_R2_on_unseen_windows,ours_R2_all_test,ours_R2_on_same_unseen_windows,paper_best_leakfree_model,paper_best_leakfree_R2,ours_leakfree_R2_train_only,ours_leakfree_R2_train_val
processed_seq,0.508891361224918,0.1502524863080364,0.10045376056309704,178.0,0.24427162178192796,0.380077864358232,0.4312335597614281,,,,
hydrographic,0.4578997740526972,0.43645459334970943,0.004375588852236192,110.0,0.2812744191288379,0.6326836201757169,0.5351324492220646,,,,
biotoxin,0.1706714000550077,0.012826231812876518,0.06082601508864533,107.0,0.20675813870071813,0.2071680191893207,0.28461099536342993,,,,
rolling_mean,0.8715,,,,,,,RIDGE,0.591586292987285,0.6122012956157841,0.6479054669824282
cleaned_data,0.8305,,,,,,,RF,0.6894535068626741,0.7228689178951768,0.7385357867675213
