task,n_candidates,ensemble_val_R2,best_single_by_val,R2_train_only,CI_low_train_only,CI_high_train_only,MAE_train_only,RMSE_train_only,R2_train_val,CI_low_train_val,CI_high_train_val,MAE_train_val,RMSE_train_val,paper_best_model,paper_R2,paper_MAE,dR2_CI_low_train_only,dR2_CI_high_train_only,p_no_gain_train_only,dR2_CI_low_train_val,dR2_CI_high_train_val,p_no_gain_train_val
rolling_mean,4,0.8939120894620577,rolling_mean__xgb,0.8901179661808437,0.8755681246754645,0.9024885128405237,0.011016527828214953,0.015487174741032552,0.8982795000060664,0.8852389468931234,0.910090951975838,0.01051634618055379,0.014900920477553783,XGB,0.8715,0.012,0.010594183783201472,0.02674354839730032,0.0,0.018466945037993003,0.03534164629321488,0.0
cleaned_data,4,0.87304443585625,cleaned_data__lgb,0.8842978272196732,0.8684839720693922,0.8984113606802157,0.02073712588049778,0.030390483278783104,0.8978709070078673,0.8833884263279043,0.9111489830933858,0.019390620017325416,0.02855233211205009,XGB,0.8305,0.0246,0.03720593400708601,0.07253564282428865,0.0,0.05022851633958795,0.08701125963798192,0.0
era5_daily,8,0.9058031909830365,era5_daily__context__lgb,0.5646964168326503,0.5526159303205584,0.6103662244849489,0.7035216915442964,1.1042560313580532,0.5720425899323364,0.5605562806344936,0.6166359865281308,0.697318501071359,1.0948986852958797,RF,0.5125,0.7749,0.045602141511300334,0.05910855870449469,0.0,0.05271910247742972,0.06673184013392001,0.0
cast,4,0.3929135251801844,cast__lgb,0.41823496753659606,0.39454200760514924,0.4426968876962586,923.0121319819219,1166.8294843715935,0.43968276210391444,0.41460946811220506,0.463098742140733,901.4345120050592,1145.1188914555505,RF,0.3832,926.6285,0.023163606662108923,0.04711133237759222,0.0,0.042419103225838056,0.07021995117905368,0.0
processed_seq,14,0.3741276101326506,processed_seq__hybrid__lgb,0.35465365466428034,0.29621567495788004,0.4144753640481687,0.05069772406950926,0.07238286723333416,0.380077864358232,0.32466204219576084,0.43545644335177036,0.04956054833384731,0.07094273491469762,LSTM,0.5089,0.0442,-0.20382555814463002,-0.10240968893057584,1.0,-0.17869474240676836,-0.07729733985211258,1.0
hydrographic,14,0.7010330660517881,hydrographic__hybrid__gru,0.5990096436043999,0.536762050329967,0.6587762392758123,0.13127950381542083,0.19109066267743968,0.6326836201757169,0.5708871378278124,0.6898495913255905,0.12444574153817102,0.18289113289245962,LSTM,0.4579,0.146,0.09281125090151437,0.193222163434655,0.0,0.12376719608545306,0.23200594894862187,0.0
biotoxin,14,0.09177263742874275,biotoxin__window__xgb,0.04547512914360308,-0.004810033229638666,0.09359023204629488,16.69478773310873,20.234533715149134,0.2071680191893207,0.16471738090382654,0.24618529571474512,14.612522786231052,18.441241560172077,LSTM,0.1707,14.2095,-0.17850220838449324,-0.07438394692203219,1.0,-0.006829489680169487,0.07794727283018092,0.0445
rolling_mean (leak-free features),4,0.6121851023003435,rolling_mean__leakfree__lgb,0.6122012956157841,0.5786351360396211,0.6402163230213695,0.021196965646272405,0.02909457588283068,0.6479054669824282,0.6172386577728851,0.6746529433145795,0.0202837586780741,0.02772288955577511,,,,,,,,,
cleaned_data (leak-free features),4,0.7033383080091873,cleaned_data__leakfree__xgb,0.7228689178951768,0.6946209588870331,0.7506355276622961,0.031221382305242386,0.0470337349934907,0.7385357867675213,0.7108467486852961,0.7636006416840854,0.030707848265006547,0.045684931349730076,,,,,,,,,
