dataset,model,seed,R2,CI_low,CI_high,MAE,RMSE,NRMSE,event_P,event_R,event_F1,n_test
rolling_mean,LSTM_chrono_retrain,0,0.5727127129247443,0.5337321129007895,0.6112647687002136,0.02176319638039655,0.030573005878329285,0.11939822668653985,0.6785714285714286,0.4342857142857143,0.5296167247386759,1324
rolling_mean,LSTM_chrono_retrain,1,0.545914518933442,0.5069710900200913,0.5852208474638075,0.0220655658400433,0.03151715169382863,0.12308544463798253,0.7142857142857143,0.45714285714285713,0.5574912891986062,1324
rolling_mean,LSTM_chrono_retrain,2,0.5246266936741072,0.48083629850631765,0.5671020547761125,0.022588856148569297,0.032247462735313086,0.12593756338711254,0.6696428571428571,0.42857142857142855,0.5226480836236934,1324
rolling_mean,LSTM_chrono_retrain,3,0.4990010177785381,0.45119171566107297,0.5470020374667331,0.022842682824423075,0.033105227431393706,0.12928743300850096,0.6486486486486487,0.4114285714285714,0.5034965034965035,1324
rolling_mean,LSTM_chrono_retrain,4,0.5447780613772928,0.5030493508946936,0.5892345118820925,0.02187367965907411,0.03155656665418773,0.12323937377372163,0.6386554621848739,0.4342857142857143,0.5170068027210885,1324
rolling_mean,TRANSFORMER_chrono_retrain,0,0.11540788003422475,0.09369592871275595,0.13804466912097585,0.032379032549226035,0.04398956700358892,0.17179456654800682,0.0,0.0,0.0,1324
rolling_mean,TRANSFORMER_chrono_retrain,1,0.12314455511887024,0.10348235960523462,0.1445309081787645,0.03217233048522838,0.04379677735932456,0.17104165590061082,0.0,0.0,0.0,1324
rolling_mean,TRANSFORMER_chrono_retrain,2,0.057294357090396986,0.04839630337661384,0.06432304197156279,0.03424350906264746,0.04541153763557409,0.17734785668032288,0.0,0.0,0.0,1324
rolling_mean,TRANSFORMER_chrono_retrain,3,0.11797195190311527,0.09358351198637863,0.14564990415125262,0.03218489100678271,0.04392576682822766,0.17154540466216736,0.0,0.0,0.0,1324
rolling_mean,TRANSFORMER_chrono_retrain,4,0.16092025067880178,0.13461137666500894,0.18859710062364937,0.03199583648445538,0.04284299013794375,0.16731678490420446,0.0,0.0,0.0,1324
cleaned_data,LSTM_chrono_retrain,0,0.07379748118776919,0.004567518348124297,0.1467978172609547,0.06479216851325907,0.08607786471312755,0.21412404157494414,0.5135135135135135,0.14285714285714285,0.2235294117647059,1169
cleaned_data,LSTM_chrono_retrain,1,0.0173832817002596,-0.0693779697266754,0.10522283674392108,0.06586819541298802,0.08866058259909756,0.2205487129330785,0.39344262295081966,0.18045112781954886,0.24742268041237114,1169
cleaned_data,LSTM_chrono_retrain,2,0.032722605141496275,-0.048168186756398015,0.10217711201536288,0.06632781685035999,0.08796583419310662,0.21882048306742938,0.45,0.13533834586466165,0.20809248554913296,1169
cleaned_data,LSTM_chrono_retrain,3,0.14409547506681575,0.08158875771155633,0.1912906858452916,0.06201352511222695,0.08274679234474322,0.2058377919023463,0.5217391304347826,0.09022556390977443,0.15384615384615385,1169
cleaned_data,LSTM_chrono_retrain,4,0.1662139038812217,0.10534107756169055,0.21439768063568226,0.061438411300232317,0.08167061588479992,0.20316073603184057,0.75,0.06766917293233082,0.12413793103448276,1169
cleaned_data,TRANSFORMER_chrono_retrain,0,0.0013593884754633523,-0.007374974916203358,0.007563159394465323,0.07006136473398926,0.08938056960544626,0.2223397253866822,0.0,0.0,0.0,1169
cleaned_data,TRANSFORMER_chrono_retrain,1,0.011320429661072495,-0.0032811315447617002,0.022197910942750268,0.06852690658934409,0.08893368469898852,0.2212280713905187,0.0,0.0,0.0,1169
cleaned_data,TRANSFORMER_chrono_retrain,2,0.0034814089723880226,-0.010945076638730466,0.01440332525292628,0.06846225498730145,0.08928555631326368,0.22210337391359122,0.0,0.0,0.0,1169
cleaned_data,TRANSFORMER_chrono_retrain,3,-0.0050113684956649696,-0.014938851116100032,0.0030133486369835474,0.07028681368528011,0.08966521486167196,0.2230477981633631,0.0,0.0,0.0,1169
cleaned_data,TRANSFORMER_chrono_retrain,4,0.009665372091346658,-0.006549398573331483,0.025676864645819055,0.06895578121124321,0.08900809142515043,0.2214131627491304,0.0,0.0,0.0,1169
processed_seq,LSTM_chrono_retrain,0,0.19898168067244537,0.12212525638434017,0.2720324062700382,0.057551798074321814,0.08064186798549156,0.2011019151757894,0.6486486486486487,0.21818181818181817,0.32653061224489793,1202
processed_seq,LSTM_chrono_retrain,1,0.21478738297964473,0.1410825384476581,0.2844615403913354,0.05680698335170745,0.07984229090382314,0.19910795736614248,0.6388888888888888,0.20909090909090908,0.3150684931506849,1202
processed_seq,LSTM_chrono_retrain,2,0.00867627210290689,-0.0810593932386593,0.10055737411414697,0.06469415248370111,0.08971129082352182,0.22371892973446836,0.417910447761194,0.2545454545454545,0.3163841807909605,1202
processed_seq,LSTM_chrono_retrain,3,0.08261633498260834,-0.01642087524096423,0.16838975949651225,0.06161622886501017,0.08630080690126679,0.21521398229742342,0.515625,0.3,0.3793103448275862,1202
processed_seq,LSTM_chrono_retrain,4,0.2462007608025768,0.1798145820988594,0.312243175110623,0.05548740410145229,0.0782288961780113,0.1950845291222227,0.7777777777777778,0.19090909090909092,0.30656934306569344,1202
processed_seq,TRANSFORMER_chrono_retrain,0,0.042286428029669754,0.01655713046086421,0.06290117780026212,0.06971272038813439,0.08817737702464029,0.21989370829087354,0.0,0.0,0.0,1202
processed_seq,TRANSFORMER_chrono_retrain,1,0.03733138015498638,0.014429408046159765,0.057624743110987156,0.07005825861470276,0.08840519014804525,0.22046182081806795,0.0,0.0,0.0,1202
